	cycle	grass	rabbits	foxes	coyotes
-------------------------------------------------
       0	143	273	114	138
       1	256	1463	130	217
       2	348	2311	191	271
       3	365	2538	145	280
       4	392	2609	133	268
       5	261	2630	111	203
       6	319	2758	135	201
       7	242	2779	121	159
       8	298	2847	115	175
       9	311	2865	89	155
      10	311	2878	107	165
      11	268	2895	95	124
      12	295	2918	91	139
      13	268	2926	68	116
      14	304	2947	85	126
      15	314	2960	80	125
      16	293	2969	77	127
      17	281	2985	60	98
      18	276	2991	82	117
      19	263	3001	78	93
      20	298	3010	77	108
      21	305	3012	60	104
      22	287	3016	82	112
      23	266	3029	78	83
      24	274	3034	77	104
      25	251	3034	60	87
      26	294	3035	82	98
      27	292	3040	78	92
      28	286	3041	77	106
      29	267	3042	60	79
      30	272	3042	82	103
      31	254	3042	78	82
      32	293	3042	77	98
      33	289	3042	60	92
      34	287	3042	82	106
      35	267	3042	78	79
      36	272	3042	77	103
      37	254	3042	60	82
      38	293	3042	82	98
      39	289	3042	78	92
      40	287	3042	77	106
      41	267	3042	60	79
      42	272	3042	82	103
      43	254	3042	78	82
      44	293	3042	77	98
      45	289	3042	60	92
      46	287	3042	82	106
      47	267	3042	78	79
      48	272	3042	77	103
      49	254	3042	60	82
      50	293	3042	82	98
      51	289	3042	78	92
      52	287	3042	77	106
      53	267	3042	60	79
      54	272	3042	82	103
      55	254	3042	78	82
      56	293	3042	77	98
      57	289	3042	60	92
      58	287	3042	82	106
      59	267	3042	78	79
      60	272	3042	77	103
      61	254	3042	60	82
      62	293	3042	82	98
      63	289	3042	78	92
      64	287	3042	77	106
      65	267	3042	60	79
      66	272	3042	82	103
      67	254	3042	78	82
      68	293	3042	77	98
      69	289	3042	60	92
      70	287	3042	82	106
      71	267	3042	78	79
      72	272	3042	77	103
      73	254	3042	60	82
      74	293	3042	82	98
      75	289	3042	78	92
      76	287	3042	77	106
      77	267	3042	60	79
      78	272	3042	82	103
      79	254	3042	78	82
      80	293	3042	77	98
      81	289	3042	60	92
      82	287	3042	82	106
      83	267	3042	78	79
      84	272	3042	77	103
      85	254	3042	60	82
      86	293	3042	82	98
      87	289	3042	78	92
      88	287	3042	77	106
      89	267	3042	60	79
      90	272	3042	82	103
      91	254	3042	78	82
      92	293	3042	77	98
      93	289	3042	60	92
      94	287	3042	82	106
      95	267	3042	78	79
      96	272	3042	77	103
      97	254	3042	60	82
      98	293	3042	82	98
      99	289	3042	78	92
     100	287	3042	77	106
